№;ЛД;ФИО;Статус;Приориетет;Рейтинг;Факультет;Форма обучения;Период обучения;Срок обучения;Курс;Код Специальности;Специальность;Образовательный уровень;Комиссия;Тип док. об обр.;Ср. балл;Награды;Оригинал;Коментарии;Бюджет;Общий конкурс;Целевой конкурс;Дата создания
28863;825ПВ;Иннокентиевская Виктория Дмитриeвна;В приказ;Первый;84,54;Юрфак;заочная;Нормативный;5 лет 00 мес.;3 (третий) курс;40.03.01;Юриспруденция;Бакалавриат;Переводы, восстановления;Аттестат о среднем общем образовании;95,08;без отличия;нет;;нет;да;нет;09.01.2019 9:33
28864;826ПВ;Серафимова Ирина Ивановна;В приказ;Первый;73,0;Юрфак;заочная;Нормативный;5 лет 00 мес.;3 (третий) курс;40.03.01;Юриспруденция;Бакалавриат;Переводы, восстановления;Аттестат о среднем общем образовании;72,0;без отличия;да;;нет;да;нет;09.01.2019 15:15
28865;827ПВ;Кондратенко Зинаида Трофимовна;В приказ;Первый;75,0;Юрфак;заочная;Нормативный;5 лет 00 мес.;3 (третий) курс;40.03.01;Юриспруденция;Бакалавриат;Переводы, восстановления;Аттестат о среднем общем образовании;4,0;без отличия;нет;;нет;да;нет;10.01.2019 14:41
28866;828ПВ;Андреевский Андрей Игнатович;В приказ;Первый;72,3;Юрфак;заочная;Нормативный;5 лет 00 мес.;3 (третий) курс;40.03.01;Юриспруденция;Бакалавриат;Переводы, восстановления;Аттестат о среднем общем образовании;71,6;без отличия;да;;нет;да;нет;10.01.2019 15:08
28867;829ПВ;Кондратовский Петр Тимофеeвич;В приказ;Первый;85,0;Юрфак;заочная;Нормативный;5 лет 00 мес.;3 (третий) курс;40.03.01;Юриспруденция;Бакалавриат;Переводы, восстановления;Аттестат о среднем общем образовании;5,0;без отличия;да;;нет;да;нет;10.01.2019 15:37
28868;830ПВ;Владимирович Виктория Андреeвна;В приказ;Первый;60,1;Юрфак;заочная;Нормативный;5 лет 00 мес.;3 (третий) курс;40.03.01;Юриспруденция;Бакалавриат;Переводы, восстановления;Аттестат о среднем общем образовании;55,2;без отличия;нет;;нет;да;нет;11.01.2019 11:44
28869;831ПВ;Степанович Трофим Кириллович;В приказ;Первый;66,19;Юрфак;заочная;Нормативный;2 года 6 мес.;2 (второй) курс;40.04.01;Юриспруденция;Магистратура;Переводы, восстановления;Диплом бакалавра;157,38;без отличия;да;;нет;да;нет;11.01.2019 13:41
28870;832ПВ;Трофимовский Тимофей Терентиeвич;В приказ;Первый;71,04;Физтех;заочная;Нормативный;4 года 00 мес.;2 (второй) курс;09.03.2001;Информатика и вычислительная техника;Бакалавриат;Переводы, восстановления;Аттестат о среднем общем образовании;4,38;без отличия;да;;нет;да;нет;14.01.2019 10:51
28872;834ПВ;Кириллова Дарья Терентиeвна;В приказ;Первый;94,6;Истфак;заочная;Нормативный;4 года 00 мес.;3 (третий) курс;41.03.05;Международные отношения;Бакалавриат;Переводы, восстановления;Аттестат о среднем общем образовании;5,0;без отличия;да;;нет;да;нет;15.01.2019 11:40
28873;835ПВ;Андреенко Надежда Тимофеeвна;В приказ;Первый;73,24;Истфак;заочная;Нормативный;4 года 00 мес.;2 (второй) курс;46.03.01;История;Бакалавриат;Переводы, восстановления;Аттестат о среднем общем образовании;70,6;без отличия;да;;нет;да;нет;15.01.2019 13:28
28874;836ПВ;Трофимович Ульяна Иннокентиeвна;В приказ;Первый;63,8;ФМИТ;очная;Нормативный;4 года 00 мес.;3 (третий) курс;01.03.2002;Прикладная математика и информатика;Бакалавриат;Переводы, восстановления;Аттестат о среднем общем образовании;62,0;без отличия;да;;нет;да;нет;16.01.2019 11:07
28875;837ПВ;Николаев Иннокентий Трофимович;В приказ;Первый;79,52;ФМИТ;очная;Нормативный;4 года 00 мес.;3 (третий) курс;01.03.2001;Математика;Бакалавриат;Переводы, восстановления;Аттестат о среднем общем образовании;4,69;без отличия;да;;нет;да;нет;16.01.2019 13:55
28876;838ПВ;Алексеенко Алексей Дмитриeвич;В приказ;Первый;86,28;Экономфак;заочная;Нормативный;5 лет 00 мес.;2 (второй) курс;44.03.05;Педагогическое образование (Профиль: География и экономика);Бакалавриат;Переводы, восстановления;Аттестат о среднем общем образовании;4,26;без отличия;да;;нет;да;нет;16.01.2019 14:42
28877;839ПВ;Владимировский Иван Андреeвич;В приказ;Первый;81,0;Физтех;заочная;Нормативный;4 года 00 мес.;2 (второй) курс;09.03.2001;Информатика и вычислительная техника;Бакалавриат;Переводы, восстановления;Аттестат о среднем общем образовании;5,0;серебряная медаль;да;;нет;да;нет;16.01.2019 15:23
28878;840ПВ;Серафимовский Тимофей Кондратович;В приказ;Первый;71,64;Учфин;очная;Нормативный;5 лет 00 мес.;2 (второй) курс;38.05.02;Таможенное дело;Специалитет;Переводы, восстановления;Аттестат о среднем общем образовании;4,08;без отличия;да;;нет;да;нет;18.01.2019 11:36
28879;841ПВ;Кирилленко Людмила Кондратовна;В приказ;Первый;86,56;Филфак;заочная;Нормативный;4 года 00 мес.;3 (третий) курс;45.03.01;Филология (Профиль: Русский язык и литература);Бакалавриат;Переводы, восстановления;Аттестат о среднем общем образовании;4,67;без отличия;нет;;нет;да;нет;18.01.2019 14:04
28880;842ПВ;Андреенко Кондрат Глебович;В приказ;Первый;74,72;Истфак;очная;Нормативный;4 года 00 мес.;2 (второй) курс;41.03.05;Международные отношения;Бакалавриат;Переводы, восстановления;Аттестат о среднем общем образовании;4,09;без отличия;да;;нет;да;нет;18.01.2019 14:58
28881;843ПВ;Иванов Владимир Владимирович;В приказ;Первый;29,36;Юрфак;заочная;Нормативный;5 лет 00 мес.;5 (пятый) курс;40.03.01;Юриспруденция;Бакалавриат;Переводы, восстановления;Диплом специалиста;73,4;без отличия;да;;да;да;нет;21.01.2019 10:05
28882;844ПВ;Кондратова Виктория Николаeвна;В приказ;Первый;73,44;Экономфак;заочная;Нормативный;4 года 00 мес.;3 (третий) курс;38.03.03;Управление персоналом;Бакалавриат;Переводы, восстановления;Аттестат о среднем общем образовании;3,18;без отличия;нет;;нет;да;нет;21.01.2019 10:52
28883;845ПВ;Андреевский Владимир Алексеeвич;В приказ;Первый;80,28;Физтех;заочная;Нормативный;4 года 00 мес.;2 (второй) курс;09.03.2001;Информатика и вычислительная техника;Бакалавриат;Переводы, восстановления;Диплом о среднем профессиональном образовании;4,41;без отличия;нет;;нет;да;нет;21.01.2019 11:22
28884;846ПВ;Дмитриевский Серафим Степанович;В приказ;Первый;81,48;Филфак;заочная;Нормативный;4 года 00 мес.;3 (третий) курс;37.03.01;Психология;Бакалавриат;Переводы, восстановления;Аттестат о среднем общем образовании;4,56;без отличия;нет;;нет;да;нет;21.01.2019 11:53
28885;847ПВ;Алексеевский Тимофей Терентиeвич;В приказ;Первый;82,44;Юрфак;заочная;Нормативный;5 лет 00 мес.;2 (второй) курс;40.03.01;Юриспруденция;Бакалавриат;Переводы, восстановления;Аттестат о среднем общем образовании;4,68;без отличия;нет;;да;да;нет;21.01.2019 13:39
28886;848ПВ;Андреевич Светлана Андреeвна;В приказ;Первый;81,0;Истфак;заочная;Нормативный;4 года 00 мес.;3 (третий) курс;41.03.05;Международные отношения;Бакалавриат;Переводы, восстановления;Аттестат о среднем общем образовании;4,5;без отличия;да;;нет;да;нет;21.01.2019 14:23
28887;849ПВ;Игнатенко Глеб Петрович;В приказ;Первый;73,3;Юрфак;заочная;Нормативный;5 лет 00 мес.;3 (третий) курс;40.03.01;Юриспруденция;Бакалавриат;Переводы, восстановления;Аттестат о среднем общем образовании;81,6;без отличия;да;;нет;да;нет;21.01.2019 14:51
